event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Hunter, Darron",12,1,nil,6107Rx,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Larrington, Waquar",12,2,nil,6017Rx,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,"MC Farlane, Andre",12,3,nil,5868Rx,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Riley, Adrian",12,4,nil,5755Rx,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Palmer, Alton",12,5,nil,5461x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Harrison, Maurice",12,6,nil,5345x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Shaw, Oshane",12,7,nil,5332x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,"Maxwell, Rosean",12,8,nil,5078x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,"MC Naughton, Jamar",12,9,nil,4302x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Bog Walk,12,10,nil,4155x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Godfrey Stewart,12,11,nil,3834x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Cornwall College,12,12,nil,3766x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Maurice Harrison,14,1,nil,6471Rx,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shamar Morrison,14,2,nil,6383Rx,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shaquille Shaw,14,3,nil,6268Rx,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shakiel Chattoo,14,4,nil,6123Rx,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Orelle Bulgin,14,5,nil,5607x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Amaudo Oconner,14,6,nil,5518x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Asani Hylton,14,7,nil,5465x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Akeem Aris,14,8,nil,4942x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Stavin Brown,14,9,nil,4847x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,14,10,nil,4493x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,14,11,nil,4315x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Mushey lee Dunkley,14,12,nil,4187x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Walk High,14,13,nil,2896x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shanice Cannigan,14,1,nil,4571x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Britny Kerr,14,2,nil,4463x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Janell Fullerton,14,3,nil,4451x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Latavia Coombs,14,4,nil,4411x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ayesha Champagnie,14,5,nil,4268x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Shamoya Mcneil,14,6,nil,4066x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Lisa Blackwood,14,7,nil,3985x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Sasha Wright,14,8,nil,3929x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ishara Scarlett,14,9,nil,3131x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,14,10,nil,1908x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Alvernia High,14,11,nil,1435x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shakiel Chattoo,15,1,nil,6988Rx,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Amaudo Oconner,15,2,nil,6545Rx,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Marcus Brown,15,3,nil,6528Rx,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shamar Morrison,15,4,nil,6249Rx,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Shaquille Shaw,15,5,nil,6222Rx,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Kurt Goodlitt,15,6,nil,6059x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Tajay Gayle,15,7,nil,5987x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Orelle Bulgin,15,8,nil,5662x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Jordain Waite,15,9,nil,5521x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,15,10,nil,5350x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Hall High,15,11,nil,5076x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,15,12,nil,4457x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Elizabeth,15,13,nil,4403x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ayesha Champagnie,15,1,nil,5172x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Zinedine Russell,15,2,nil,4834x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Janell Fullerton,15,3,nil,4736x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Lisa Blackwood,15,4,nil,4468x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Britny Kerr,15,5,nil,4454x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Taneika Elliston,15,6,nil,4391x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Sasha Wright,15,7,nil,4172x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Nayoka Clunis,15,8,nil,3997x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Kalice Hitchman,15,9,nil,3984x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,15,10,nil,3418x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,15,11,nil,3023x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Technical,15,12,nil,2657x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Alvernia High,15,13,nil,2588x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Hall High,15,14,nil,2241x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,15,15,nil,1582x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Marcus Brown,16,1,nil,6781Rx,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Amaudo Oconner,16,2,nil,6649x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Asani Hylton,16,3,nil,6517x,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Woodens Corvil,16,4,nil,6230x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Lafranz Campbell,16,5,nil,6170x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Donovan Thames,16,6,nil,5952x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Amario Ferron,16,7,nil,5789x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Stavin Brown,16,8,nil,5769x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Donovan Palmer,16,9,nil,5137x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,16,10,nil,4777x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,College,16,11,nil,4521x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,James High,16,12,nil,3055x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Janell Fullerton,16,1,nil,5011x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Zinedine Russell,16,2,nil,4489x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Trishauna Hemmings,16,3,nil,4469x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Keneva Headley,16,4,nil,4321x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Peter-Gay McKenzie,16,5,nil,4176x,5
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Brittaney Orr,16,6,nil,3959x,4
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Fiona Barnes,16,7,nil,3934x,3
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Basilla Haughton,16,8,nil,3575x,2
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ashley-ann Miller,16,9,nil,3568x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,16,10,nil,3558x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Queens School,16,11,nil,3365x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Alvernia High,16,12,nil,3105x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,16,13,nil,3012x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,James High,16,14,nil,2768x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,16,15,nil,2378x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,High,16,16,nil,1269x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Donovan Thames,17,1,nil,6771x,12
Decathlon Open Finals.Html,Boys,Open,,Finals,,Lafranz Campbell,17,2,nil,6423x,10
Decathlon Open Finals.Html,Boys,Open,,Finals,,Wikenson Fenelon,17,3,nil,6270x,8
Decathlon Open Finals.Html,Boys,Open,,Finals,,Brandon Mclaren,17,4,nil,5136x,6
Decathlon Open Finals.Html,Boys,Open,,Finals,,Devar Clayton,17,5,nil,5109x,5
Decathlon Open Finals.Html,Boys,Open,,Finals,,Stevin Brown,17,6,nil,5059x,4
Decathlon Open Finals.Html,Boys,Open,,Finals,,Jona Hanson,17,7,nil,4933x,3
Decathlon Open Finals.Html,Boys,Open,,Finals,,Romaine Gabbidon,17,8,nil,4928x,2
Decathlon Open Finals.Html,Boys,Open,,Finals,,Jahvari Richards,17,9,nil,4871x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Hill High,17,10,nil,4864x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Hall High,17,11,nil,4758x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,James High,17,12,nil,4347x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,,17,13,nil,4002x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,17,14,nil,3889x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,McKay High,17,15,nil,3831x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,High,17,16,nil,3491x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Ottey High,17,17,nil,3442x,0
Decathlon Open Finals.Html,Boys,Open,,Finals,,Golding High,17,18,nil,2680x,0
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Peter-gay Mckenzie,17,1,nil,4694x,12
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Ashanti Moore,17,2,nil,4664x,10
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Thaila Wilson,17,3,nil,4274x,8
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Brittaney Orr,17,4,nil,4233x,6
Heptathlon Open Finals.Html,Girls,Open,,Finals,,Maricia Spence,17,5,nil,4200x,5
