event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
100 Meter Dash,Boys,1,,Finals,-0.5,"Williams, Delano",12,1,18 Munro College,10.37,9
100 Meter Dash,Boys,1,,Finals,-0.5,"Murphy, Jazeel",12,2,18 Bridgeport,10.39,7
100 Meter Dash,Boys,1,,Finals,-0.5,"Minzie, Jevaughn",12,3,17 Bog Walk,10.54,6
100 Meter Dash,Boys,1,,Finals,-0.5,"Tracey, Tyquendo",12,4,19 Garvey MACEO Hig,10.66,5
100 Meter Dash,Boys,1,,Finals,-0.5,"Givans, Senoj-Jay",12,5,18 Munro College,10.71,4
100 Meter Dash,Boys,1,,Finals,-0.5,"Clarke, Everton",12,6,19 Herbert Morrison,10.79,3
100 Meter Dash,Boys,1,,Finals,-0.5,"Deer, Ronell",12,7,19 St.Elizabeth Tec,11.74,2
100 Meter Dash,Boys,1,,Finals,-0.5,"Skeen, Odean",12,--,18 Wolmers' Boys SC,FS,0
100 Meter Dash,Boys,2,,Finals,0.1,"Robinson, Raheem",12,1,16 Wolmers' Boys SC,10.60,9
100 Meter Dash,Boys,2,,Finals,0.1,"Williams, Gawain",12,2,16 Herbert Morrison,10.66,7
100 Meter Dash,Boys,2,,Finals,0.1,"O'Haro, Michael",12,3,15 Calabar High School,10.73,6
100 Meter Dash,Boys,2,,Finals,0.1,"Mason, Tyler",12,4,15 Jamaica College,10.75,5
100 Meter Dash,Boys,2,,Finals,0.1,"Clarke, Edward",12,5,16 Jamaica College,10.84,4
100 Meter Dash,Boys,2,,Finals,0.1,"Blake, Xandre",12,6,16 Ardenne High School,10.90,3
100 Meter Dash,Boys,2,,Finals,0.1,"Kelly, Karey",12,7,15 Wolmers' Boys SC,10.95,2
100 Meter Dash,Boys,2,,Finals,0.1,"Saunderson, Rashaad",12,8,15 Kingston College,10.99,1
100 Meter Dash,Boys,3,,Finals,1.9,"Chambers, Raheem",12,1,14 St. Jago High,10.86R,9
100 Meter Dash,Boys,3,,Finals,1.9,"Edwards, Rushane",12,2,14 Munro College,11.12,7
100 Meter Dash,Boys,3,,Finals,1.9,"Nash, Jashon",12,3,14 Calabar High School,11.22,6
100 Meter Dash,Boys,3,,Finals,1.9,"Henry, Keyno",12,4,14 Holmwood Technical,11.23,5
100 Meter Dash,Boys,3,,Finals,1.9,"Lodge, Jerome",12,5,14 Kingston College,11.30,4
100 Meter Dash,Boys,3,,Finals,1.9,"Pinnock, Mathew",12,6,14 Jamaica College,11.43,3
100 Meter Dash,Boys,3,,Finals,1.9,"Scott, Malique",12,7,14 Calabar High School,11.43,2
100 Meter Dash,Boys,3,,Finals,1.9,"Francis, Leroy",12,8,14 St.Elizabeth Tec,11.46,1
100 Meter Dash,Girls,1,,Finals,0.3,"Palmer, Seidatha",12,1,19 Herbert Morrison,11.74,9
100 Meter Dash,Girls,1,,Finals,0.3,"Stephens, Kenesha",12,2,18 Herbert Morrison,11.86,7
100 Meter Dash,Girls,1,,Finals,0.3,"Lewin, Shawnette",12,3,19 Edwin Allen High,11.88,6
100 Meter Dash,Girls,1,,Finals,0.3,"Williams, Melissa",12,4,18 St. Jago High,11.91,5
100 Meter Dash,Girls,1,,Finals,0.3,"Cameron, Venessa",12,5,18 The Queens School,12.04,4
100 Meter Dash,Girls,1,,Finals,0.3,"Stewart, Dejah",12,6,18 Edwin Allen High,12.06,3
100 Meter Dash,Girls,1,,Finals,0.3,"Erskine, Osheen",12,7,18 Holmwood Technical,12.21,2
100 Meter Dash,Girls,1,,Finals,0.3,"McCarthy, Chrisdale",12,8,18 St. Jago High,12.43,1
100 Meter Dash,Girls,2,,Finals,0.1,"Williams, Christania",12,1,17 Edwin Allen High,11.54,9
100 Meter Dash,Girls,2,,Finals,0.1,"Thompson, Yanique",12,2,16 Holmwood Technical,11.76,7
