event,gender,clas_s,wind,athlete,year,position,school,mark,points
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Excelsior High School,26,1,Excelsior High School,39.53,12
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Jamaica College,26,2,Jamaica College,39.66,10
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Kingston College,26,3,Kingston College,39.66,8
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,William Knibb Memorial,26,4,William Knibb Memorial,40.04,6
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Edwin Allen High School,26,5,Edwin Allen High School,40.10,5
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Calabar High School,26,6,Calabar High School,40.13,4
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Petersfield High School,26,7,Petersfield High School,40.44,3
Boys 16-19 4x100m Relay CLASS 1 BOYS - Finals,Boys,CLASS 1 BOYS,,Wolmer's Boys School,26,8,Wolmer's Boys School,40.59,2
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Jamaica College,26,1,Jamaica College,40.32,12
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Calabar High School,26,2,Calabar High School,40.42,10
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Kingston College,26,3,Kingston College,40.48,8
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Wolmer's Boys School,26,4,Wolmer's Boys School,41.06,6
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Edwin Allen High School,26,5,Edwin Allen High School,41.13,5
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,St. Jago High School,26,6,St. Jago High School,41.87,4
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,St. George's College,26,--,St. George's College,DQ,0
Boys 14-15 4x100m Relay CLASS 2 BOYS - Finals,Boys,CLASS 2 BOYS,,Vere Technical High School,26,--,Vere Technical High School,DNF,0
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Wolmer's Boys School,26,1,Wolmer's Boys School,42.70,12
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Jamaica College,26,2,Jamaica College,43.31,10
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,St. Jago High School,26,3,St. Jago High School,43.41,8
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Kingston College,26,4,Kingston College,43.42,6
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Calabar High School,26,5,Calabar High School,43.97,5
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Manchester High School,26,6,Manchester High School,43.97,4
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Holmwood Technical High School,26,--,Holmwood Technical High School,FS,0
Boys 10-13 4x100m Relay CLASS 3 BOYS - Finals,Boys,CLASS 3 BOYS,,Campion College,26,--,Campion College,DNF,0
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Jamaica College,26,1,Jamaica College,3:08.18,12
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Kingston College,26,2,Kingston College,3:08.68,10
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Excelsior High School,26,3,Excelsior High School,3:10.02,8
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Munro College,26,4,Munro College,3:12.73,6
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Edwin Allen High School,26,5,Edwin Allen High School,3:13.69,5
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Holmwood Technical High School,26,6,Holmwood Technical High School,3:13.88,4
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,William Knibb Memorial,26,--,William Knibb Memorial,DQ,0
Boys 14-19 4x400m Relay OPEN - Finals,Boys,OPEN,,Calabar High School,26,--,Calabar High School,FS,0
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,St. Elizabeth Technical High S,26,1,St. Elizabeth Technical High S,3:28.16,12
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Calabar High School,26,2,Calabar High School,3:28.41,10
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Port Antonio High School,26,3,Port Antonio High School,3:28.45,8
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Jamaica College,26,4,Jamaica College,3:29.96,6
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Excelsior High School,26,5,Excelsior High School,3:33.76,5
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Alphansus Davis High School,26,6,Alphansus Davis High School,3:34.55,4
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Clarendon College,26,7,Clarendon College,3:39.73,3
Boys 14-19 1600m Sprint Medley OPEN - Finals,Boys,OPEN,,Edwin Allen High School,26,8,Edwin Allen High School,3:40.88,2
Girls 17-18 4x100m Relay CLASS 1 - Finals,Girls,CLASS 1,,Edwin Allen High School,26,1,Edwin Allen High School,44.43,12
Girls 17-18 4x100m Relay CLASS 1 - Finals,Girls,CLASS 1,,Hydel High School,26,2,Hydel High School,46.25,10
Girls 17-18 4x100m Relay CLASS 1 - Finals,Girls,CLASS 1,,Holmwood Technical High School,26,3,Holmwood Technical High School,46.80,8
Girls 17-18 4x100m Relay CLASS 1 - Finals,Girls,CLASS 1,,Mount Alvernia High School,26,4,Mount Alvernia High School,46.82,6
Girls 17-18 4x100m Relay CLASS 1 - Finals,Girls,CLASS 1,,St. Jago High School,26,5,St. Jago High School,47.35,5
