event,gender,clas_s,category,sub_category,wind,athlete,year,position,school,series,mark,points
100 Meter ,Boys,3,Track Event,Sprints,0.1,Alex Lewis,26,5,Calabar High School,,11.16X,4
100 Meter ,Boys,2,Track Event,Sprints,0.6,Joshua Ricketts,26,2,Calabar High School,,10.42X,7
100 Meter ,Boys,2,Track Event,Sprints,0.6,Javane Clayton,26,6,Calabar High School,,10.58X,3
100 Meter ,Boys,3,Track Event,Sprints,0.1,Jaron Brooks,26,6,Campion College,,11.22X,3
100 Meter ,Girls,3,Track Event,Sprints,0.9,Tyniqua Moulton,26,6,Clarendon College,,11.96X,3
100 Meter ,Girls,3,Track Event,Sprints,0.9,Azaria Harris,26,3,Convent of Mercy Academy (ALPHA),,11.77X,6
100 Meter ,Girls,3,Track Event,Sprints,0.9,Aliyah Ross,26,8,Convent of Mercy Academy (ALPHA),,12.22X,1
100 Meter ,Girls,2,Track Event,Sprints,0.9,Kerelle Etienne,26,8,Edwin Allen High School,,22.46X,1
100 Meter ,Girls,3,Track Event,Sprints,0.9,Danelia Clarke,26,1,Edwin Allen High School,,11.66X,9
100 Meter ,Girls,3,Track Event,Sprints,0.9,Andriana Pine,26,7,Edwin Allen High School,,12.01X,2
100 Meter ,Girls,1,Track Event,Sprints,0.7,Alexxe Henry,26,2,Edwin Allen High School,,11.21X,7
100 Meter ,Girls,1,Track Event,Sprints,0.7,Renecia Edwards,26,3,Edwin Allen High School,,11.45X,6
100 Meter ,Boys,1,Track Event,Sprints,1.2,Romario Finnigan,26,3,Edwin Allen High School,,10.22X,6
100 Meter ,Boys,1,Track Event,Sprints,1.2,Kenrick Austin,26,7,Edwin Allen High School,,10.38X,2
100 Meter ,Girls,4,Track Event,Sprints,0.1,Monique Bogle,26,2,Edwin Allen High School,,12.30X,7
100 Meter ,Girls,4,Track Event,Sprints,0.1,Shantwae Green,26,3,Edwin Allen High School,,12.40X,6
100 Meter ,Girls,2,Track Event,Sprints,0.9,Kedoya Lindo,26,6,Excelsior High School,,11.77X,3
100 Meter ,Boys,1,Track Event,Sprints,1.2,Riquelme Reid,26,1,Excelsior High School,,10.12X,9
100 Meter ,Boys,1,Track Event,Sprints,1.2,Malike Nugent,26,5,Excelsior High School,,10.32X,4
100 Meter ,Girls,4,Track Event,Sprints,0.1,Brianna Gray,26,1,Excelsior High School,,12.01X,9
100 Meter ,Girls,3,Track Event,Sprints,0.9,Rihanna Scott,26,2,Ferncourt High School,,11.74X,7
100 Meter ,Girls,1,Track Event,Sprints,0.7,Shanoya Douglas,26,1,Holland High School,,10.98X,9
100 Meter ,Boys,1,Track Event,Sprints,1.2,Johan-Ramaldo Smythe,26,6,Holland High School,,10.34X,3
100 Meter ,Girls,2,Track Event,Sprints,0.9,Nickayla Russell,26,7,Holmwood Technical High School,,11.96X,2
100 Meter ,Girls,1,Track Event,Sprints,0.7,Shemonique Hazle,26,--,Hydel High School,,DNFX,0
100 Meter ,Girls,1,Track Event,Sprints,0.7,Shevi-Anne Shim,26,5,Immaculate Conception High School,,11.66X,4
100 Meter ,Girls,4,Track Event,Sprints,0.1,Crisan Allen,26,4,Immaculate Conception High School,,12.41X,5
100 Meter ,Girls,4,Track Event,Sprints,0.1,Melaysia Vernon,26,8,Immaculate Conception High School,,12.58X,1
100 Meter ,Boys,3,Track Event,Sprints,0.1,Adrian Phillips,26,7,Jamaica College,,11.31X,2
100 Meter ,Boys,2,Track Event,Sprints,0.6,Kai Kelly,26,1,Jamaica College,,10.28X,9
100 Meter ,Boys,3,Track Event,Sprints,0.1,Kemanic Edwards,26,4,Kingston College,,11.04X,5
100 Meter ,Boys,1,Track Event,Sprints,1.2,Nyrone Wade,26,8,Kingston College,,10.44X,1
100 Meter ,Girls,4,Track Event,Sprints,0.1,De'Ana Ellis,26,5,Lacovia High School,,12.43X,4
100 Meter ,Girls,2,Track Event,Sprints,0.9,Giana Murray,26,3,Mount Alvernia High School,,11.61X,6
100 Meter ,Girls,3,Track Event,Sprints,0.9,Veneisha Pottinger,26,4,Mount Alvernia High School,,11.79X,5
100 Meter ,Girls,1,Track Event,Sprints,0.7,Sharla Bell,26,7,Mount Alvernia High School,,11.90X,2
100 Meter ,Girls,1,Track Event,Sprints,0.7,Shakeya Reid,26,6,Penwood High School,,11.82X,3
100 Meter ,Boys,2,Track Event,Sprints,0.6,Ajannie Kelly,26,4,St. Elizabeth Technical High School,,10.45X,5
100 Meter ,Boys,1,Track Event,Sprints,1.2,Tyreece Foreman,26,2,St. George's College,,10.21X,7
100 Meter ,Boys,3,Track Event,Sprints,0.1,J'Den Fisher,26,3,St. Jago High School,,10.83X,6
100 Meter ,Boys,2,Track Event,Sprints,0.6,Jevaney Findlay,26,7,St. Jago High School,,10.68X,2
100 Meter ,Boys,2,Track Event,Sprints,0.6,Marquies Page,26,--,St. Jago High School,,FSX,0
100 Meter ,Girls,2,Track Event,Sprints,0.9,Shannia Campbell,26,2,St. Jago High School,,11.59X,7
100 Meter ,Girls,2,Track Event,Sprints,0.9,Adora Campbell,26,4,St. Jago High School,,11.62X,5
100 Meter ,Girls,2,Track Event,Sprints,0.9,Shayon Smith,26,5,St. Mary High School,,11.62X,4
100 Meter ,Boys,2,Track Event,Sprints,0.6,Ricardo Mann,26,3,Vere Technical High School,,10.44X,6
100 Meter ,Girls,4,Track Event,Sprints,0.1,Brianna King,26,6,Vere Technical High School,,12.48X,3
100 Meter ,Girls,4,Track Event,Sprints,0.1,Omeikia Shepherd,26,7,Vere Technical High School,,12.56X,2
100 Meter ,Boys,3,Track Event,Sprints,0.1,Jamali Laing,26,8,William Knibb Memorial High School,,11.58X,1
100 Meter ,Boys,1,Track Event,Sprints,1.2,Sanjay Seymore,26,4,William Knibb Memorial High School,,10.30X,5
100 Meter ,Boys,3,Track Event,Sprints,0.1,Ajani Lumley,26,1,Wolmer's Boys School,,10.71X,9
100 Meter ,Boys,3,Track Event,Sprints,0.1,Joshua Mcwilliams,26,2,Wolmer's Boys School,,10.81X,7
100 Meter ,Boys,2,Track Event,Sprints,0.6,Mario Ross,26,5,Wolmer's Boys School,,10.47X,4
100 Meter ,Girls,2,Track Event,Sprints,0.9,Natrece East,26,1,Wolmer's Trust High School For Girls,,11.21X,9
100 Meter ,Girls,1,Track Event,Sprints,0.7,Tiana Marshall,26,4,Wolmer's Trust High School For Girls,,11.59X,5
