event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
100 Meter Dash,Girls,3,,Finals,0.7,Tia Clayton,18,1,Edwin Allen High,11.56x,9
100 Meter Dash,Girls,3,,Finals,0.7,Serena Cole,18,2,Edwin Allen High,11.70x,7
100 Meter Dash,Girls,3,,Finals,0.7,Brianna Lyston,18,3,St. Jago High,11.71x,6
100 Meter Dash,Girls,3,,Finals,0.7,Danae Nembhard,18,4,St. Jago High,11.81x,5
100 Meter Dash,Girls,3,,Finals,0.7,Sashieka Steele,18,5,Holmwood,11.83x,4
100 Meter Dash,Girls,3,,Finals,0.7,Shenese Walker,18,6,Hydel High,11.92x,3
100 Meter Dash,Girls,3,,Finals,0.7,Shenequa Vassell,18,7,Mount Alvernia High,12.00x,2
100 Meter Dash,Girls,3,,Finals,0.7,Onanda Lowe,18,8,Immaculate,12.19x,1
100 Meter Dash,Girls,1,,Finals,1.2,Kasheika Cameron,18,1,Edwin Allen High,11.29x,9
100 Meter Dash,Girls,1,,Finals,1.2,Michae Harriott,18,2,Holmwood,11.44x,7
100 Meter Dash,Girls,1,,Finals,1.2,Ockera Myrie,18,3,Petersfield High,11.45x,6
100 Meter Dash,Girls,1,,Finals,1.2,Yanique Dayle,18,4,Hydel High,11.58x,5
100 Meter Dash,Girls,1,,Finals,1.2,Kelliesha King,18,5,Holmwood,11.69x,4
100 Meter Dash,Girls,1,,Finals,1.2,Sharikae Campbell,18,6,Hydel High,11.76x,3
100 Meter Dash,Girls,1,,Finals,1.2,Fredricka Mckenzi,18,7,Edwin Allen High,11.77x,2
100 Meter Dash,Girls,1,,Finals,1.2,Kimone Shaw,18,8,St. Jago High,11.95x,1
100 Meter Dash,Boys,2,,Finals,2.0,Sachin Dennis,18,1,Steths,10.20Rx,9
100 Meter Dash,Boys,2,,Finals,2.0,Terrique Stennett,18,2,Kingston College,10.37x,7
100 Meter Dash,Boys,2,,Finals,2.0,Conroy Jones,18,3,Steths,10.52x,6
100 Meter Dash,Boys,2,,Finals,2.0,Andre Bent,18,4,William Knibb,10.56x,5
100 Meter Dash,Boys,2,,Finals,2.0,Daniel Chambers,18,5,St. Jago High,10.57x,4
100 Meter Dash,Boys,2,,Finals,2.0,Rajay Morris,18,6,Clarendon College,10.69x,3
100 Meter Dash,Boys,2,,Finals,2.0,Shakur Williams,18,7,Meadowbrook High,10.86x,2
100 Meter Dash,Boys,2,,Finals,2.0,Justin Emmanuel,18,8,Papine High,10.89x,1
100 Meter Dash,Girls,2,,Finals,0.9,Kevona Davis,18,1,Edwin Allen High,11.16Rx,9
100 Meter Dash,Girls,2,,Finals,0.9,Ray-donna Lee,18,2,Hydel High,11.58x,7
100 Meter Dash,Girls,2,,Finals,0.9,Julien Alfred,18,3,St. Catherine High,11.64x,6
100 Meter Dash,Girls,2,,Finals,0.9,Krystal Sloley,18,4,Campion College,11.67x,5
100 Meter Dash,Girls,2,,Finals,0.9,Thennelle William,18,5,St. Jago High,11.77x,4
100 Meter Dash,Girls,2,,Finals,0.9,Hughasia Fyffe,18,6,Immaculate,11.93x,3
100 Meter Dash,Girls,2,,Finals,0.9,Kayla Bonnick,18,7,St. Jago High,11.93x,2
100 Meter Dash,Girls,2,,Finals,0.9,Kimberly Baker,18,8,Holmwood,12.03x,1
100 Meter Dash,Boys,1,,Finals,NWI,Tyreke Wilson,18,1,Calabar High,10.21x,9
100 Meter Dash,Boys,1,,Finals,NWI,Ryiem Robertson,18,2,Jamaica College,10.28x,7
100 Meter Dash,Boys,1,,Finals,NWI,Xavier Nairne,18,3,Wolmer's,10.42x,6
100 Meter Dash,Boys,1,,Finals,NWI,Kimani Gardner,18,4,Excelsior High,10.44x,5
