event,gender,clas_s,mark,athlete,year,school
100 Meter,Boys,1,9.99x,Bouwahjgie Nkrumie,2023,Kingston College
100 Meter,Boys,2,10.20x,Sachin Dennis,2018,St. Elizabeth Technical High School
100 Meter,Boys,3,10.69x,Christopher Scott,2019,Jamaica College
100 Meter,Girls,1,10.92x,Alana Reid,2023,Hydel High School
100 Meter,Girls,2,11.16x,Kevona Davis,2018,Edwin Allen High School
100 Meter,Girls,3,11.27x,Tina Clayton,2019,Edwin Allen High School
100 Meter,Girls,4,11.75x,Kimone Shaw,2013,St. Jago High School
100 Meter Hurdles,Boys,3,12.87x,Neil-Matthew Sutherland,2018,Jamaica College
100 Meter Hurdles,Girls,1,13.00x,Oneka Wilson,2022,Hydel High School
100 Meter Hurdles,Girls,2,12.71x,Kerrica Hill,2022,Hydel High School
110 Meter Hurdles,Boys,1,13.06x,Wayne Pinnock,2019,Kingston College
110 Meter Hurdles,Boys,2,13.26x,Vashaun Vascianna,2019,St. Jago High School
1500 Meter,Boys,1,3:45.54x,Kemoy Campbell,2010,Bellefield High School
1500 Meter,Boys,2,3:55.38x,Kevroy Venson,2017,Calabar High School
1500 Meter,Boys,3,4:12.50x,Tavaughn Martin,2019,Bellefield High School
1500 Meter,Girls,1,4:29.42x,Jodyann Mitchell,2023,Holmwood Technical High School
1500 Meter,Girls,2,4:32.10x,Evette Turner,1993,Vere Technical High School
1500 Meter,Girls,3,4:20.20x,Evette Turner,1992,Vere Technical High School
1600 Sprint Medley,Boys,Open,3:24.22x,Kingston College,2018,Kingston College
1600 Sprint Medley,Girls,Open,3:57.58x,Alphansus Davis High School,2017,Alphansus Davis High School
200 Meter,Boys,1,20.25x,Usain Bolt,2003,William Knibb Memorial High School
200 Meter,Boys,2,20.80x,Christopher Taylor,2016,Calabar High School
200 Meter,Boys,3,21.69x,Adrian Kerr,2018,Kingston College
200 Meter,Girls,1,22.53x,Brianna Lyston,2022,Hydel High School
200 Meter,Girls,2,22.72x,Kevona Davis,2018,Edwin Allen High School
200 Meter,Girls,3,23.07x,Kevona Davis,2017,Edwin Allen High School
200 Meter,Girls,4,23.72x,Brianna Lyston,2017,St. Jago High School
