event,gender,clas_s,typ,wind,name,year,position,school,series,mark,points
Long Jump,Boys,2,Finals,-1.1,"Gibson, Gavin",12,1, Jamaica College,[],6.91m,9
Long Jump,Boys,2,Finals,-1.1,"Walker, Jullane",12,2, Calabar High School,[],6.85m,7
Long Jump,Boys,2,Finals,-0.8,"Moulton, Carlington",12,3, St. George's Col,[],6.76m,6
Long Jump,Boys,2,Finals,-2.4,"Hyde, Javauny",12,4, Wolmers' Boys SC,[],6.63m,5
Long Jump,Boys,2,Finals,-0.2,"Clarke, Edward",12,5, Jamaica College,[],6.62m,4
Long Jump,Boys,2,Finals,-0.8,Bay High,12,6,.m  -.   ,[],6.56m,3
Long Jump,Boys,2,Finals,-0.5,"Ogilvie, Javier",12,7, Wolmers' Boys SC,[],6.43m,2
Long Jump,Boys,2,Finals,-0.2,"Waite, Jordaine",12,8, St. Jago High,[],6.34m,1
Long Jump,Boys,2,Finals,-0.3,"Brown, Lexux",12,9, St.Elizabeth Tec,[],6.27m,0
Long Jump,Boys,2,Finals,-0.5,"Chin, Roje",12,10, St. Jago High,[],6.11m,0
Long Jump,Boys,2,Finals,0.1,"Monteque, Gavin",12,11, St. Mary High,[],6.02m,0
Long Jump,Boys,2,Finals,-1.6,"Wright, Sean",12,12, Kingston College,[],5.66m,0
Long Jump,Boys,3,Finals,2.9,"Welington, Sammawi",12,1, Kingston College,[],6.88m,9
Long Jump,Boys,3,Finals,1.1,"Barrett, Lorne",12,2, Campion College,[],6.28m,7
Long Jump,Boys,3,Finals,0.4,"Richards, Renaldo",12,3, Oberlin High,[],6.27m,6
Long Jump,Boys,3,Finals,1.7,"Lowe, Jevier",12,4, Calabar High School,[],6.23m,5
Long Jump,Boys,3,Finals,2.9,"Allen, Akeem",12,5, St.Elizabeth Tec,[],6.19m,4
Long Jump,Boys,3,Finals,2.3,"Stona, Shemar",12,6, Kingston College,[],6.09m,3
Long Jump,Boys,3,Finals,2.7,"Creary, Dameon",12,7, Wolmers' Boys SC,[],6.00m,2
Long Jump,Boys,3,Finals,2.0,"Grey, Romayne",12,8, Wolmers' Boys SC,[],5.99m,1
Long Jump,Boys,3,Finals,0.9,"Dawkins, Rashaun",12,9, St. Jago High,[],5.92m,0
Long Jump,Boys,3,Finals,2.5,"Ellis, Amal",12,10, Jamaica College,[],5.90m,0
Long Jump,Boys,3,Finals,5.3,"Jarrett, Kenrick",12,11, Vauxhall High,[],5.49m,0
Long Jump,Boys,3,Finals,FOUL,"Francis, Aykeeme",12,, Calabar High School,[],FOUL,"['', '', '', 'FOUL']"
Long Jump,Girls,2,Finals,-0.4,"Allen, Claudette",12,1, Edwin Allen High,[],6.02m,9
Long Jump,Girls,2,Finals,-0.4,"Lawrence, Shardia",12,2, Vere Technical High,[],5.81m,7
Long Jump,Girls,2,Finals,-0.3,"Moncrieffe, Tamara",12,3, Holmwood Technical,[],5.80m,6
