event,event_type,gender,one,two,three,four,open
100 Meter,sprint,Boys,37,37,37,,
100 Meter,sprint,Girls,37,37,37,37,
100 Meter Hurdles,hurdles,Boys,,,37,,
100 Meter Hurdles,hurdles,Girls,37,37,,,
110 Meter Hurdles,hurdles,Boys,37,37,,,
1500 Meter,middle distance,Boys,37,37,37,,
1500 Meter,middle distance,Girls,37,37,37,,
1600 Sprint Medley,relay,Boys,,,,,50
1600 Sprint Medley,relay,Girls,,,,,50
200 Meter,sprint,Boys,37,37,37,,
200 Meter,sprint,Girls,37,37,37,37,
2000 Meter Steeplechase,middle distance,Boys,,,,,37
2000 Meter Steeplechase,middle distance,Girls,,,,,37
3000 Meter,middle distance,Girls,,,,,37
400 Meter,sprint,Boys,37,37,37,,
400 Meter,sprint,Girls,37,37,37,,
400 Meter Hurdles,hurdles,Boys,37,37,,,
400 Meter Hurdles,hurdles,Girls,,,,,37
4X100 Meter Relay,relay,Boys,50,50,50,,
4X100 Meter Relay,relay,Girls,50,50,50,50,
4X400 Meter Relay,relay,Boys,,,,,50
4X400 Meter Relay,relay,Girls,,,,,50
5000 Meter,long distance,Boys,,,,,37
70 Meter Hurdles,hurdles,Girls,,,,37,
80 Meter Hurdles,hurdles,Girls,,,37,,
800 Meter,middle distance,Boys,37,37,37,,
800 Meter,middle distance,Girls,37,37,37,,
Decathlon,combine events,Boys,,,,,50
Discus Throw,throws,Boys,37,37,,,
Discus Throw,throws,Girls,37,37,37,,
Heptathlon,combine events,Girls,,,,,50
High Jump,jumps,Boys,37,37,37,,
High Jump,jumps,Girls,37,37,37,37,
Javelin Throw,throws,Boys,,,,,37
Javelin Throw,throws,Girls,,,,,37
Long Jump,jumps,Boys,37,37,37,,
Long Jump,jumps,Girls,37,37,37,37,
Pole Vault,jumps,Boys,,,,,37
Shot Put,throws,Boys,37,37,,,
Shot Put,throws,Girls,37,37,,,
Triple Jump,jumps,Boys,37,37,,,
Triple Jump,jumps,Girls,,,,,37
